acc_no,acc_name,office_id,type_id,is_budget,active,currency_id
100000,Modal,All,MD,false,true,
100100,Laba/Rugi Ditahan,All,MD,false,true,
100200,Laba/Rugi Tahun Berjalan,All,MD,false,true,
200000,Inventaris Gedung,All,AT,false,true,
200001,Tanah,All,AT,false,true,IDR
200002,Gedung,All,AT,false,true,IDR
200003,Kendaraan,All,AT,false,true,IDR
200010,Inventaris Kendaraan Bermotor,All,AT,false,true,
200020,Inventaris Perlengkapan Kantor,All,AT,false,true,
200030,Inventaris Peralatan Kantor,All,AT,false,true,
210000,Akumulasi Penyusutan Gedung,All,AP,false,true,
210010,Akumulasi Penyusutan Kendaraan Bermotor,All,AP,false,true,
210020,Akumulasi Penyusutan Perlengkapan Kantor,All,AP,false,true,
210030,Akumulasi Penyusutan Peralatan Kantor,All,AP,false,true,
300000,Kas Tunai IDR JBC,All,CT,true,true,IDR
300001,Kas Tunai USD JBC,All,CT,false,true,USD
300002,Kas Tunai SGD GP,All,CT,false,true,SGD
300003,Kas Tunai SAR JBC,All,CT,true,true,SAR
300004,Kas Tunai MYR GP,All,CT,false,true,MYR
300005,Kas Tunai NTD (Taiwan) GP,All,CT,true,true,TWD
300006,Kas Tunai HKD GP,All,CT,false,true,HKD
300007,Kas Tunai YEN GP,All,CT,false,true,JPY
300008,Kas Tunai EUR GP,All,CT,false,true,EUR
300009,Kas Tunai BND GP,All,CT,false,true,BND
300010,Kas Tunai AUD GP,All,CT,false,true,AUD
300011,Kas Tunai IDR GP,All,CT,true,true,IDR
300012,Kas Tunai USD GP,All,CT,true,true,USD
300013,Kas Tunai SAR GP,All,CT,true,true,SAR
300014,Kas Tunai TRY GP,All,CT,false,true,TRY
300015,Kas Tunai YUA GP,All,CT,false,true,YUA
300016,Petty Cash GP,All,CT,false,true,IDR
300017,Petty Cash JBC,All,CT,false,true,IDR
300018,Petty Cash Kantor Oprls Jakarta,All,CT,false,true,IDR
300019,Kas Tunai SGD JBC,All,CT,true,true,SGD
300020,Kas Tunai DIRHAM JBC,All,CT,false,true,AED
300021,Kas Tunai DIRHAM GP,All,CT,false,true,AED
300022,Kas Tunai WON (KRW) GP,All,CT,false,true,KRW
300023,Kas Tunai WON (KRW) JBC,All,CT,false,true,KRW
300024,Kas Tunai LIRA JBC,All,CT,false,true,TRY
300025,Kas Tunai BND JBC,All,CT,false,true,BND
300026,Kas Tunai MYR JBC,All,CT,false,true,MYR
300101,Traveler Cheque USD,All,TC,false,false,USD
301000,Bank BCA IDR 088-382381-5,All,CB,false,true,IDR
301001,Bank BCA USD,All,CB,false,true,USD
