acc_no,currency_name
200001,IDR
200002,IDR
200003,IDR
300000,IDR
300001,USD
300002,SGD
300003,SAR
300004,MYR
300005,TWD
300006,HKD
300007,JPY
300008,EUR
300009,BND
300010,AUD
300011,IDR
300012,USD
300013,SAR
300014,TRY
300015,YUA
300016,IDR
300017,IDR
300018,IDR
300019,SGD
300020,AED
300021,AED
300022,KRW
300023,KRW
300024,TRY
300025,BND
300026,MYR
300101,USD
301000,IDR
301001,USD
301002,SGD
301010,IDR
301011,USD
301012,IDR
301013,USD
301014,USD
301016,IDR
301017,USD
301018,IDR
301019,IDR
301020,IDR
301022,USD
301023,USD
301024,IDR
301025,IDR
301026,USD
301027,IDR
301028,IDR
301029,IDR
301030,IDR
301031,IDR
301032,USD
301033,USD
301034,USD
301036,IDR
301037,IDR
301038,USD
301039,IDR
301040,IDR
301041,IDR
301042,IDR
301043,IDR
301044,IDR
302000,IDR
303000,IDR
304000,IDR
305000,IDR
305001,IDR
305002,IDR
306000,IDR
306001,USD
310000,IDR
310011,USD
310021,IDR
310022,IDR
310024,USD
310030,IDR
31023,IDR
321600,IDR
321601,IDR
321602,IDR
321603,IDR
321604,IDR
321605,IDR
326000,USD
326001,IDR
326002,USD
326003,IDR
326004,USD
326005,USD
326006,USD
326007,IDR
326008,IDR
390001,IDR
401001,IDR
405000,IDR
405001,USD
405002,IDR
405003,USD
410011,IDR
440000,IDR
440001,IDR
440002,IDR
501000,IDR
501001,IDR
502501,IDR
504006,IDR
504502,IDR
604006,IDR
604007,IDR
604008,IDR
604009,IDR
609001,IDR
609002,IDR
609003,IDR
609004,IDR
609005,IDR
609006,IDR
609007,IDR
609008,IDR
609009,IDR
609010,IDR
609011,IDR
609012,IDR
609013,IDR
609014,IDR
609015,IDR
609016,IDR
609017,IDR
609018,IDR
609019,IDR
609020,IDR
700000,IDR
700001,IDR
700002,IDR
700003,IDR
700004,IDR
700005,IDR
700006,IDR
700007,IDR
700008,IDR
700009,IDR
700011,IDR
700012,IDR
700013,IDR
700020,IDR
700021,IDR
700022,IDR
700023,IDR
700024,IDR
700025,IDR
700403,IDR
700404,IDR
700500,IDR
700506,IDR
700507,IDR
700508,IDR
700509,IDR
700510,IDR
700511,IDR
700512,IDR
700520,IDR
700521,IDR
700522,IDR
700523,IDR
700524,IDR
700530,IDR
700531,IDR
700532,IDR
700533,IDR
700534,IDR
700535,IDR
700536,IDR
700537,IDR
700538,IDR
700539,IDR
700540,IDR
700541,IDR
700542,IDR
700543,IDR
700544,IDR
700545,IDR
700546,IDR
700547,IDR
700548,IDR
700549,IDR
700550,IDR
700551,IDR
700552,IDR
700553,IDR
700554,IDR
700555,IDR
700556,IDR
700557,IDR
700558,IDR
700559,IDR
700602,IDR
700603,IDR
700803,IDR
700910,IDR
780001,IDR
780002,IDR
780003,IDR
780010,IDR
780011,IDR
780015,IDR
780016,IDR
780020,IDR
990000,IDR
990003,IDR
990004,IDR
991001,IDR
